Seitentitel,URL,Anzahl fehlender Bilder,abgeleitetes Hauptthema,abgeleiteter Seitentyp,empfohlene Bildmotive,Bildposition,empfohlene Bildrolle,Vorschlag 1,Score 1,Begründung 1,Vorschlag 2,Score 2,Begründung 2,Vorschlag 3,Score 3,Begründung 3,Status,Review-Hinweis
Bonn,https://igienair.de/kunden/referenzen/nrw/bonn/,6,Luftkanalreinigung Bonn,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,1,Hero,assets/images/Kunden/NRW/Bonn/shutterstock_2452647683.jpg,71,"Stadtordner ""bonn"" entspricht URL-Slug; Schlagwort-Treffer: kunden, bonn; Kategorie Standort/Referenz","assets/images/Anlagen/Luftkanalreinigung/ChatGPT Image 2. Mai 2026, 19_33_41.png",56,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Querformat für Hero-Rolle; Ausreichende Breite (1538px); KI-generierter Dateiname – manuell prüfen",assets/images/rlt hygiene/Gemini_Generated_Image_m5eryum5eryum5er.png,56,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Querformat für Hero-Rolle; Ausreichende Breite (2528px); KI-generierter Dateiname – manuell prüfen",needs_review,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Bonn,https://igienair.de/kunden/referenzen/nrw/bonn/,6,Luftkanalreinigung Bonn,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,2,Content,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1840762849.jpeg,54,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Rasterbild für Content",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,54,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Rasterbild für Content",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,54,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Rasterbild für Content",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Bonn,https://igienair.de/kunden/referenzen/nrw/bonn/,6,Luftkanalreinigung Bonn,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,3,Detail/Prozess,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1871509007.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Bonn,https://igienair.de/kunden/referenzen/nrw/bonn/,6,Luftkanalreinigung Bonn,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,4,Anwendung/Kontext,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1889947612.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Bonn,https://igienair.de/kunden/referenzen/nrw/bonn/,6,Luftkanalreinigung Bonn,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,5,Galerie 1,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1891592519.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Bonn,https://igienair.de/kunden/referenzen/nrw/bonn/,6,Luftkanalreinigung Bonn,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,6,Galerie 2,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1918297044.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Duisburg,https://igienair.de/kunden/referenzen/nrw/duisburg/,6,Luftkanalreinigung Duisburg,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,1,Hero,assets/images/Kunden/NRW/Duisburg/shutterstock_2385490887.jpg,71,"Stadtordner ""duisburg"" entspricht URL-Slug; Schlagwort-Treffer: kunden, duisburg; Kategorie Standort/Referenz","assets/images/Anlagen/Luftkanalreinigung/ChatGPT Image 2. Mai 2026, 19_33_41.png",56,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Querformat für Hero-Rolle; Ausreichende Breite (1538px); KI-generierter Dateiname – manuell prüfen",assets/images/rlt hygiene/Gemini_Generated_Image_m5eryum5eryum5er.png,56,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Querformat für Hero-Rolle; Ausreichende Breite (2528px); KI-generierter Dateiname – manuell prüfen",needs_review,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Duisburg,https://igienair.de/kunden/referenzen/nrw/duisburg/,6,Luftkanalreinigung Duisburg,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,2,Content,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1840762849.jpeg,54,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Rasterbild für Content",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,54,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Rasterbild für Content",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,54,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Rasterbild für Content",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Duisburg,https://igienair.de/kunden/referenzen/nrw/duisburg/,6,Luftkanalreinigung Duisburg,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,3,Detail/Prozess,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1871509007.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Duisburg,https://igienair.de/kunden/referenzen/nrw/duisburg/,6,Luftkanalreinigung Duisburg,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,4,Anwendung/Kontext,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1889947612.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Duisburg,https://igienair.de/kunden/referenzen/nrw/duisburg/,6,Luftkanalreinigung Duisburg,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,5,Galerie 1,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1891592519.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Duisburg,https://igienair.de/kunden/referenzen/nrw/duisburg/,6,Luftkanalreinigung Duisburg,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,6,Galerie 2,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1918297044.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Düsseldorf,https://igienair.de/kunden/referenzen/nrw/duesseldorf/,6,Luftkanalreinigung Düsseldorf,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude,1,Hero,"assets/images/Anlagen/Luftkanalreinigung/ChatGPT Image 2. Mai 2026, 19_33_41.png",56,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Querformat für Hero-Rolle; Ausreichende Breite (1538px); KI-generierter Dateiname – manuell prüfen",assets/images/rlt hygiene/Gemini_Generated_Image_m5eryum5eryum5er.png,56,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Querformat für Hero-Rolle; Ausreichende Breite (2528px); KI-generierter Dateiname – manuell prüfen",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Düsseldorf,https://igienair.de/kunden/referenzen/nrw/duesseldorf/,6,Luftkanalreinigung Düsseldorf,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude,2,Content,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1889947612.jpeg,54,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Rasterbild für Content",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,54,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Rasterbild für Content",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,54,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Rasterbild für Content",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Düsseldorf,https://igienair.de/kunden/referenzen/nrw/duesseldorf/,6,Luftkanalreinigung Düsseldorf,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude,3,Detail/Prozess,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1891592519.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Düsseldorf,https://igienair.de/kunden/referenzen/nrw/duesseldorf/,6,Luftkanalreinigung Düsseldorf,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude,4,Anwendung/Kontext,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1918297044.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Düsseldorf,https://igienair.de/kunden/referenzen/nrw/duesseldorf/,6,Luftkanalreinigung Düsseldorf,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude,5,Galerie 1,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1951912270.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Düsseldorf,https://igienair.de/kunden/referenzen/nrw/duesseldorf/,6,Luftkanalreinigung Düsseldorf,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude,6,Galerie 2,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1965336141.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Köln,https://igienair.de/kunden/referenzen/nrw/koeln/,6,Luftkanalreinigung Köln,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude,1,Hero,"assets/images/Anlagen/Luftkanalreinigung/ChatGPT Image 2. Mai 2026, 19_33_41.png",56,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Querformat für Hero-Rolle; Ausreichende Breite (1538px); KI-generierter Dateiname – manuell prüfen",assets/images/rlt hygiene/Gemini_Generated_Image_m5eryum5eryum5er.png,56,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Querformat für Hero-Rolle; Ausreichende Breite (2528px); KI-generierter Dateiname – manuell prüfen",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Köln,https://igienair.de/kunden/referenzen/nrw/koeln/,6,Luftkanalreinigung Köln,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude,2,Content,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1889947612.jpeg,54,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Rasterbild für Content",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,54,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Rasterbild für Content",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,54,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Rasterbild für Content",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Köln,https://igienair.de/kunden/referenzen/nrw/koeln/,6,Luftkanalreinigung Köln,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude,3,Detail/Prozess,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1891592519.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Köln,https://igienair.de/kunden/referenzen/nrw/koeln/,6,Luftkanalreinigung Köln,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude,4,Anwendung/Kontext,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1918297044.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Köln,https://igienair.de/kunden/referenzen/nrw/koeln/,6,Luftkanalreinigung Köln,Referenz-Standort,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Stadt/Region; Industrieumfeld; Team vor Ort; Team; Zertifikate; Unternehmensgebäude,5,Galerie 1,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1951912270.jpeg,48,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,48,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",weak_match,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
